detection_time(ms),desc_extraction_time(ms),num_matched_kpts
2.75832,2.15233,
3.1137,2.20162,307
5.14762,3.52704,308
6.17233,3.24813,298
5.34018,2.76719,321
5.86654,3.00762,283
2.07809,1.60324,315
4.92353,2.71658,323
5.79514,3.07617,302
5.49127,2.67342,311
