detection_time(ms),desc_extraction_time(ms),num_matched_kpts
2.37314,262.301,
1.71125,241.85,256
5.62732,249.449,243
5.65599,253.916,241
4.97576,247.678,239
2.12412,245.538,215
6.9905,250.736,251
5.39972,248.579,248
4.693,247.036,243
5.89847,247.731,247
