detection_time(ms),desc_extraction_time(ms),num_matched_kpts
90.593,245.983,
81.5924,240.294,137
93.3348,240.621,125
96.9257,240.878,129
91.3324,240.833,129
87.7978,240.453,131
92.7955,238.669,132
96.0481,240.661,142
88.7525,239.24,146
87.5966,238.463,144
