detection_time(ms),desc_extraction_time(ms),num_matched_kpts
11.1637,2.03326,
8.00148,0.490108,49
16.3591,1.30305,43
16.0157,1.44137,45
16.3455,1.36611,59
15.7078,1.50846,53
7.33905,0.592753,78
15.5471,1.60111,68
16.9229,1.44402,84
7.64641,0.646532,66
