detection_time(ms),desc_extraction_time(ms),num_matched_kpts
20.0059,41.3,
15.8794,43.4285,86
15.7161,42.6126,90
25.2761,38.8157,86
22.097,36.8292,88
22.4838,37.2367,86
22.5644,37.4356,80
22.9475,37.4029,81
20.0604,37.0664,86
22.8925,37.5301,85
