detection_time(ms),desc_extraction_time(ms),num_matched_kpts
119.384,97.9984,
104.55,91.0706,82
123.905,95.3783,81
124.253,97.1282,85
121.11,98.9843,93
121.906,95.2037,90
119.212,94.338,81
116.518,91.3693,82
120.486,97.7445,102
116.122,96.9172,104
