detection_time(ms),desc_extraction_time(ms),num_matched_kpts
11.788,55.9061,
6.56749,53.3006,67
16.3497,56.2486,79
16.3168,55.7718,78
15.5732,52.8564,79
19.0154,52.1176,82
15.1933,55.754,95
15.8018,55.0101,95
16.7648,59.1333,94
14.3095,57.7814,94
