detection_time(ms),desc_extraction_time(ms),num_matched_kpts
22.7318,24.8056,
16.5383,22.2095,14
30.0244,20.8366,11
21.6465,23.3925,16
25.4152,21.5393,19
37.9087,16.9854,22
19.1185,22.742,22
23.5767,17.6197,13
26.4852,20.9021,24
31.1739,19.5792,22
