detection_time(ms),desc_extraction_time(ms),num_matched_kpts
288.625,241.201,
274.618,239.992,171
290.156,241.131,176
286.383,241.18,157
286.607,241.683,176
285.138,239.649,174
278.032,239.643,188
277.744,239.974,173
283.942,239.722,171
283.759,241.077,184
