detection_time(ms),desc_extraction_time(ms),num_matched_kpts
9.54521,44.9278,
6.72871,42.1121,42
18.2967,43.0176,36
19.4022,41.7895,44
17.1388,39.8773,47
16.1772,39.6393,44
16.4469,40.0576,51
18.5975,39.4225,52
18.4042,39.9009,48
14.4718,40.6648,56
